"Safra","Regiao","Municipio","Latitude","Longitude","Altitude","Rendimento (Kg/ha)","Reduçao-chuvas (%)","Queda Rendimento 18-19"
"2016-17","Noroeste","Nova Olimpia","-23.47","-53.08","431","3000","0","0"
"2017-18","Noroeste","Nova Olimpia","-23.47","-53.08","431","3000","0","0"
"2019-20","Noroeste","Nova Olimpia","-23.47","-53.08","431","3350","0","0"
"2018-19","Noroeste","Nova Olimpia","-23.47","-53.08","431","2500","-23","-19.79"
"2014-15","Noroeste","Diamante do Norte","-22.63","-52.89","368","2700","0","0"
"2015-16","Noroeste","Diamante do Norte","-22.63","-52.89","368","3200","0","0"
"2016-17","Noroeste","Diamante do Norte","-22.63","-52.89","368","3200","0","0"
"2017-18","Noroeste","Diamante do Norte","-22.63","-52.89","368","3200","0","0"
"2018-19","Noroeste","Diamante do Norte","-22.63","-52.89","368","1900","-23","-38.21"
"2014-15","Noroeste","S. Carlos do Ivai","-23.3","-52.47","327","3000","0","0"
"2015-16","Noroeste","S. Carlos do Ivai","-23.3","-52.47","327","3000","0","0"
"2016-17","Noroeste","S. Carlos do Ivai","-23.3","-52.47","327","2450","0","0"
"2017-18","Noroeste","S. Carlos do Ivai","-23.3","-52.47","327","3150","0","0"
"2018-19","Noroeste","S. Carlos do Ivai","-23.3","-52.47","327","2230","-23","-23.1"
"2014-15","Noroeste","Umuarama","-23.76","-53.31","447","3139","0","0"
"2015-16","Noroeste","Umuarama","-23.76","-53.31","447","2310","0","0"
"2016-17","Noroeste","Umuarama","-23.76","-53.31","447","2748","0","0"
"2017-18","Noroeste","Umuarama","-23.76","-53.31","447","3100","0","0"
"2018-19","Noroeste","Umuarama","-23.76","-53.31","447","1600","-23","-43.34"
"2014-15","Oeste","Cascavel","-24.95","-53.45","782","3595","0","0"
"2015-16","Oeste","Cascavel","-24.95","-53.45","782","3339","0","0"
"2016-17","Oeste","Cascavel","-24.95","-53.45","782","4050","0","0"
"2017-18","Oeste","Cascavel","-24.95","-53.45","782","3236","0","0"
"2018-19","Oeste","Cascavel","-24.95","-53.45","782","3198","-26","-10.04"
"2014-15","Oeste","Foz do Iguaçu","-25.6","-54.48","235","2851","0","0"
"2015-16","Oeste","Foz do Iguaçu","-25.6","-54.48","235","3470","0","0"
"2016-17","Oeste","Foz do Iguaçu","-25.6","-54.48","235","3843","0","0"
"2017-18","Oeste","Foz do Iguaçu","-25.6","-54.48","235","2975","0","0"
"2018-19","Oeste","Foz do Iguaçu","-25.6","-54.48","235","1500","-26","-54.32"
"2014-15","Oeste","Palotina","-24.28","-53.84","341","3300","0","0"
"2015-16","Oeste","Palotina","-24.28","-53.84","341","3600","0","0"
"2016-17","Oeste","Palotina","-24.28","-53.84","341","4100","0","0"
"2017-18","Oeste","Palotina","-24.28","-53.84","341","3600","0","0"
"2018-19","Oeste","Palotina","-24.28","-53.84","341","2355","-26","-35.47"
"2014-15","Sul","Guarapuava","-25.39","-51.45","1110","3500","0","0"
"2015-16","Sul","Guarapuava","-25.39","-51.45","1110","3600","0","0"
"2016-17","Sul","Guarapuava","-25.39","-51.45","1110","4120","0","0"
"2017-18","Sul","Guarapuava","-25.39","-51.45","1110","3810","0","0"
"2018-19","Sul","Guarapuava","-25.39","-51.45","1110","3750","-8","-0.2"
"2014-15","Sul","Ventania","-24.28","-50.21","1093","3700","0","0"
"2015-16","Sul","Ventania","-24.28","-50.21","1093","3350","0","0"
"2016-17","Sul","Ventania","-24.28","-50.21","1093","4000","0","0"
"2017-18","Sul","Ventania","-24.28","-50.21","1093","3750","0","0"
"2018-19","Sul","Ventania","-24.28","-50.21","1093","3600","-8","-2.7"
"2014-15","Sul","General Carneiro","-26.39","-51.35","1009","2250","0","0"
"2015-16","Sul","General Carneiro","-26.39","-51.35","1009","2650","0","0"
"2016-17","Sul","General Carneiro","-26.39","-51.35","1009","2900","0","0"
"2017-18","Sul","General Carneiro","-26.39","-51.35","1009","2800","0","0"
"2018-19","Sul","General Carneiro","-26.39","-51.35","1009","2700","-8","-1.89"
"2014-15","Sul","Ponta Grossa","-25.09","-50.16","956","3395","0","0"
"2015-16","Sul","Ponta Grossa","-25.09","-50.16","956","3341","0","0"
"2016-17","Sul","Ponta Grossa","-25.09","-50.16","956","3891","0","0"
"2017-18","Sul","Ponta Grossa","-25.09","-50.16","956","3617","0","0"
"2018-19","Sul","Ponta Grossa","-25.09","-50.16","956","3510","-8","-1.44"
"2014-15","Centro-Oeste","Campo Mourao","-24.04","-52.38","596","3719","0","0"
"2015-16","Centro-Oeste","Campo Mourao","-24.04","-52.38","596","3180","0","0"
"2016-17","Centro-Oeste","Campo Mourao","-24.04","-52.38","596","3840","0","0"
"2017-18","Centro-Oeste","Campo Mourao","-24.04","-52.38","596","3600","0","0"
"2018-19","Centro-Oeste","Campo Mourao","-24.04","-52.38","596","3000","-15","-16.31"
"2014-15","Centro-Oeste","Campina da Lagoa","-24.57","-52.8","598","3480","0","0"
"2015-16","Centro-Oeste","Campina da Lagoa","-24.57","-52.8","598","3600","0","0"
"2016-17","Centro-Oeste","Campina da Lagoa","-24.57","-52.8","598","4100","0","0"
"2017-18","Centro-Oeste","Campina da Lagoa","-24.57","-52.8","598","3471","0","0"
"2018-19","Centro-Oeste","Campina da Lagoa","-24.57","-52.8","598","2850","-15","-22.19"
"2014-15","Centro-Oeste","Goioere","-24.18","-53.01","504","3471","0","0"
"2015-16","Centro-Oeste","Goioere","-24.18","-53.01","504","3347","0","0"
"2016-17","Centro-Oeste","Goioere","-24.18","-53.01","504","3900","0","0"
"2017-18","Centro-Oeste","Goioere","-24.18","-53.01","504","3720","0","0"
"2018-19","Centro-Oeste","Goioere","-24.18","-53.01","504","3100","-15","-14.12"
